label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63
HELLO,0.0,0.0,0.0,-0.048039377,-0.09553802,-0.014941136,-0.058794856,-0.20590836,-0.01957526,-0.047518015,-0.29946983,-0.031158032,-0.036709785,-0.37058878,-0.04082385,0.019476712,-0.26056588,0.033349097,0.02965051,-0.34513718,0.007101501,0.004331708,-0.37694156,-0.020895258,-0.02213645,-0.38708717,-0.0370818,0.0578171,-0.2580139,0.025438247,0.08139032,-0.36250603,-0.004178709,0.045401096,-0.38566244,-0.032495003,0.0075951815,-0.3720159,-0.046330065,0.09733951,-0.23915887,0.0105300555,0.1304211,-0.33992004,-0.016013375,0.09369278,-0.35673308,-0.03436994,0.05617982,-0.33200675,-0.04016257,0.13858628,-0.20234329,-0.0071788887,0.162889,-0.28356236,-0.023077276,0.13414824,-0.31302935,-0.031000262,0.09714317,-0.30338722,-0.03313953
HELLO,0.0,0.0,0.0,-0.05036831,-0.09356159,-0.016000314,-0.06417167,-0.20947355,-0.021301048,-0.05474043,-0.30510563,-0.033339694,-0.0382455,-0.37521273,-0.04358728,0.014077306,-0.26954508,0.030911468,0.021460593,-0.35581,0.004829892,-0.002898395,-0.38346457,-0.023513705,-0.025743663,-0.3927452,-0.04077409,0.053590655,-0.26582384,0.022878103,0.07282364,-0.37000775,-0.0067159254,0.03587985,-0.39495242,-0.03560625,-0.0005890131,-0.38609833,-0.050941594,0.09372324,-0.24797595,0.007872182,0.122291684,-0.3511237,-0.020283505,0.08324015,-0.36700433,-0.03912502,0.045745075,-0.34370643,-0.045887545,0.13544965,-0.21314102,-0.009838162,0.15644485,-0.2997163,-0.028208904,0.12442875,-0.3252349,-0.036156014,0.08588362,-0.31145573,-0.038563177
HELLO,0.0,0.0,0.0,-0.05036831,-0.09356159,-0.016000314,-0.06417167,-0.20947355,-0.021301048,-0.05474043,-0.30510563,-0.033339694,-0.0382455,-0.37521273,-0.04358728,0.014077306,-0.26954508,0.030911468,0.021460593,-0.35581,0.004829892,-0.002898395,-0.38346457,-0.023513705,-0.025743663,-0.3927452,-0.04077409,0.053590655,-0.26582384,0.022878103,0.07282364,-0.37000775,-0.0067159254,0.03587985,-0.39495242,-0.03560625,-0.0005890131,-0.38609833,-0.050941594,0.09372324,-0.24797595,0.007872182,0.122291684,-0.3511237,-0.020283505,0.08324015,-0.36700433,-0.03912502,0.045745075,-0.34370643,-0.045887545,0.13544965,-0.21314102,-0.009838162,0.15644485,-0.2997163,-0.028208904,0.12442875,-0.3252349,-0.036156014,0.08588362,-0.31145573,-0.038563177
HELLO,0.0,0.0,0.0,-0.04835856,-0.09844577,-0.014424237,-0.061507046,-0.20950675,-0.020646548,-0.053099275,-0.3032199,-0.034134667,-0.036813855,-0.3754735,-0.045944232,0.01847601,-0.26689076,0.030754704,0.027707875,-0.35359687,0.0035372432,0.0004326105,-0.38121367,-0.025305366,-0.0256989,-0.38965738,-0.04241083,0.057360828,-0.2626186,0.02186191,0.07751262,-0.36928278,-0.0073959827,0.04024911,-0.3905809,-0.035307944,0.004196346,-0.37868482,-0.04982607,0.09728503,-0.24288583,0.006120735,0.12705088,-0.34863853,-0.020846682,0.08806938,-0.36159098,-0.03725366,0.050831735,-0.33666456,-0.042355657,0.13861024,-0.20552075,-0.012316989,0.16070276,-0.29340476,-0.029496567,0.12765145,-0.31825334,-0.035405982,0.08811551,-0.3050176,-0.036197104
HELLO,0.0,0.0,0.0,-0.04835856,-0.09844577,-0.014424237,-0.061507046,-0.20950675,-0.020646548,-0.053099275,-0.3032199,-0.034134667,-0.036813855,-0.3754735,-0.045944232,0.01847601,-0.26689076,0.030754704,0.027707875,-0.35359687,0.0035372432,0.0004326105,-0.38121367,-0.025305366,-0.0256989,-0.38965738,-0.04241083,0.057360828,-0.2626186,0.02186191,0.07751262,-0.36928278,-0.0073959827,0.04024911,-0.3905809,-0.035307944,0.004196346,-0.37868482,-0.04982607,0.09728503,-0.24288583,0.006120735,0.12705088,-0.34863853,-0.020846682,0.08806938,-0.36159098,-0.03725366,0.050831735,-0.33666456,-0.042355657,0.13861024,-0.20552075,-0.012316989,0.16070276,-0.29340476,-0.029496567,0.12765145,-0.31825334,-0.035405982,0.08811551,-0.3050176,-0.036197104
HELLO,0.0,0.0,0.0,-0.0460397,-0.09557003,-0.016253388,-0.05828488,-0.20507717,-0.02298823,-0.049424827,-0.29797977,-0.0365037,-0.035617113,-0.37068033,-0.048087347,0.020113826,-0.2661038,0.02993203,0.02917993,-0.35426742,0.002499753,0.0033430457,-0.3805033,-0.02669609,-0.022230506,-0.38776684,-0.04382213,0.058481395,-0.26159012,0.022060748,0.07971722,-0.36737418,-0.007905234,0.04360199,-0.38992268,-0.03714912,0.0065075755,-0.37921065,-0.05248782,0.09767389,-0.24249351,0.007201662,0.12929845,-0.34592497,-0.020363385,0.09052491,-0.36068738,-0.039044224,0.051886678,-0.3373052,-0.045575377,0.138259,-0.20618618,-0.010412158,0.16322565,-0.29161882,-0.027250884,0.13187027,-0.31927538,-0.034676746,0.09236103,-0.3086214,-0.03683263
HELLO,0.0,0.0,0.0,-0.0460397,-0.09557003,-0.016253388,-0.05828488,-0.20507717,-0.02298823,-0.049424827,-0.29797977,-0.0365037,-0.035617113,-0.37068033,-0.048087347,0.020113826,-0.2661038,0.02993203,0.02917993,-0.35426742,0.002499753,0.0033430457,-0.3805033,-0.02669609,-0.022230506,-0.38776684,-0.04382213,0.058481395,-0.26159012,0.022060748,0.07971722,-0.36737418,-0.007905234,0.04360199,-0.38992268,-0.03714912,0.0065075755,-0.37921065,-0.05248782,0.09767389,-0.24249351,0.007201662,0.12929845,-0.34592497,-0.020363385,0.09052491,-0.36068738,-0.039044224,0.051886678,-0.3373052,-0.045575377,0.138259,-0.20618618,-0.010412158,0.16322565,-0.29161882,-0.027250884,0.13187027,-0.31927538,-0.034676746,0.09236103,-0.3086214,-0.03683263
HELLO,0.0,0.0,0.0,-0.04832661,-0.096942544,-0.017557548,-0.060700834,-0.21081543,-0.024238748,-0.05020863,-0.3065409,-0.03748097,-0.035933197,-0.37995017,-0.048878238,0.018527567,-0.27160692,0.029399108,0.027189612,-0.35751033,0.0017126928,0.0026260614,-0.3835078,-0.027569726,-0.019995928,-0.39119494,-0.04503439,0.058451593,-0.2669769,0.0218436,0.082038045,-0.37271124,-0.008822119,0.047540665,-0.3947729,-0.03812566,0.013250828,-0.3842128,-0.05334775,0.098053575,-0.24675333,0.00707415,0.13153869,-0.34827185,-0.02174534,0.09348661,-0.3624587,-0.041019056,0.055899143,-0.33889085,-0.047565177,0.13837373,-0.20887166,-0.010562787,0.1638059,-0.29228413,-0.02840976,0.13471591,-0.31967932,-0.036819473,0.0979231,-0.31026495,-0.03952171
HELLO,0.0,0.0,0.0,-0.047846615,-0.09377861,-0.017195763,-0.061208665,-0.20616215,-0.02424866,-0.052847862,-0.30060136,-0.037758395,-0.038203716,-0.3728711,-0.049021445,0.018292248,-0.2702484,0.026716672,0.02881515,-0.35854548,-0.0016790977,0.0012466311,-0.38417757,-0.03052827,-0.024588943,-0.38925773,-0.047303762,0.05742067,-0.26467514,0.018861175,0.08180344,-0.37180346,-0.012084066,0.045064986,-0.3937738,-0.040032268,0.009041905,-0.38075578,-0.05399757,0.09659308,-0.24327183,0.0039283633,0.13145572,-0.34641445,-0.024119735,0.09291357,-0.3615452,-0.041703403,0.055500567,-0.33737183,-0.047261823,0.13653016,-0.20410198,-0.013922139,0.16374248,-0.28819466,-0.03150017,0.13269824,-0.3164903,-0.039265357,0.094251156,-0.30670446,-0.04142558
HELLO,0.0,0.0,0.0,-0.047846615,-0.09377861,-0.017195763,-0.061208665,-0.20616215,-0.02424866,-0.052847862,-0.30060136,-0.037758395,-0.038203716,-0.3728711,-0.049021445,0.018292248,-0.2702484,0.026716672,0.02881515,-0.35854548,-0.0016790977,0.0012466311,-0.38417757,-0.03052827,-0.024588943,-0.38925773,-0.047303762,0.05742067,-0.26467514,0.018861175,0.08180344,-0.37180346,-0.012084066,0.045064986,-0.3937738,-0.040032268,0.009041905,-0.38075578,-0.05399757,0.09659308,-0.24327183,0.0039283633,0.13145572,-0.34641445,-0.024119735,0.09291357,-0.3615452,-0.041703403,0.055500567,-0.33737183,-0.047261823,0.13653016,-0.20410198,-0.013922139,0.16374248,-0.28819466,-0.03150017,0.13269824,-0.3164903,-0.039265357,0.094251156,-0.30670446,-0.04142558
HELLO,0.0,0.0,0.0,-0.048320293,-0.089888155,-0.019711042,-0.062059283,-0.203098,-0.027583657,-0.05564046,-0.29814798,-0.041233268,-0.044536293,-0.37245828,-0.052845474,0.014940441,-0.26962638,0.023477525,0.025610209,-0.35781133,-0.0055074627,0.00073856115,-0.38563138,-0.03472413,-0.024468005,-0.39088172,-0.051662248,0.054861605,-0.2647487,0.016851416,0.077364266,-0.37184852,-0.014718912,0.042818427,-0.3941527,-0.04366564,0.0069645643,-0.37903303,-0.058396842,0.094343126,-0.24422324,0.0030880296,0.12674868,-0.34687734,-0.026342228,0.08973098,-0.36154032,-0.045928173,0.052282214,-0.33394897,-0.052697092,0.1348316,-0.20634192,-0.013596492,0.15835923,-0.29169768,-0.033358637,0.12840259,-0.31862676,-0.04301194,0.090746045,-0.3052994,-0.046271015
HELLO,0.0,0.0,0.0,-0.048320293,-0.089888155,-0.019711042,-0.062059283,-0.203098,-0.027583657,-0.05564046,-0.29814798,-0.041233268,-0.044536293,-0.37245828,-0.052845474,0.014940441,-0.26962638,0.023477525,0.025610209,-0.35781133,-0.0055074627,0.00073856115,-0.38563138,-0.03472413,-0.024468005,-0.39088172,-0.051662248,0.054861605,-0.2647487,0.016851416,0.077364266,-0.37184852,-0.014718912,0.042818427,-0.3941527,-0.04366564,0.0069645643,-0.37903303,-0.058396842,0.094343126,-0.24422324,0.0030880296,0.12674868,-0.34687734,-0.026342228,0.08973098,-0.36154032,-0.045928173,0.052282214,-0.33394897,-0.052697092,0.1348316,-0.20634192,-0.013596492,0.15835923,-0.29169768,-0.033358637,0.12840259,-0.31862676,-0.04301194,0.090746045,-0.3052994,-0.046271015
HELLO,0.0,0.0,0.0,-0.04650265,-0.09064454,-0.016985813,-0.056952417,-0.19985473,-0.02245608,-0.048892856,-0.2919019,-0.03397368,-0.037242353,-0.36412102,-0.043151382,0.024442852,-0.25466985,0.027521877,0.03897214,-0.34182262,0.0006802513,0.011707246,-0.37361205,-0.026067302,-0.01715833,-0.38105708,-0.040950786,0.061252296,-0.24962151,0.02110106,0.0862453,-0.35609025,-0.008656798,0.04882258,-0.37847936,-0.035357434,0.01008147,-0.36108685,-0.047620114,0.09873438,-0.22818655,0.0077503724,0.13184553,-0.3304476,-0.019220175,0.09395462,-0.3476246,-0.036509566,0.05623758,-0.32299232,-0.041124403,0.13758194,-0.18885124,-0.00840078,0.16301286,-0.2718091,-0.025888022,0.1350975,-0.30111742,-0.034374546,0.098876595,-0.291304,-0.03634355
HELLO,0.0,0.0,0.0,-0.04650265,-0.09064454,-0.016985813,-0.056952417,-0.19985473,-0.02245608,-0.048892856,-0.2919019,-0.03397368,-0.037242353,-0.36412102,-0.043151382,0.024442852,-0.25466985,0.027521877,0.03897214,-0.34182262,0.0006802513,0.011707246,-0.37361205,-0.026067302,-0.01715833,-0.38105708,-0.040950786,0.061252296,-0.24962151,0.02110106,0.0862453,-0.35609025,-0.008656798,0.04882258,-0.37847936,-0.035357434,0.01008147,-0.36108685,-0.047620114,0.09873438,-0.22818655,0.0077503724,0.13184553,-0.3304476,-0.019220175,0.09395462,-0.3476246,-0.036509566,0.05623758,-0.32299232,-0.041124403,0.13758194,-0.18885124,-0.00840078,0.16301286,-0.2718091,-0.025888022,0.1350975,-0.30111742,-0.034374546,0.098876595,-0.291304,-0.03634355
HELLO,0.0,0.0,0.0,-0.046128213,-0.09661794,-0.0163897,-0.057299733,-0.20605761,-0.025068792,-0.053503036,-0.29801375,-0.04114147,-0.043104947,-0.37025434,-0.05602779,0.02110231,-0.26439595,0.027435929,0.026101768,-0.35116088,-0.004263922,-0.0031140447,-0.3789416,-0.036696877,-0.029738128,-0.38597924,-0.05637528,0.05863601,-0.2597801,0.017048905,0.07832098,-0.36913478,-0.019471126,0.036595643,-0.3960731,-0.051882863,-0.004672408,-0.3882264,-0.068463966,0.0969339,-0.23954427,-0.0005203707,0.1261335,-0.34818894,-0.034573257,0.08261526,-0.36483932,-0.055560805,0.04200065,-0.3432027,-0.062478404,0.13630742,-0.20058143,-0.020677375,0.15486377,-0.2912885,-0.043792382,0.11940247,-0.31449068,-0.053451687,0.079344034,-0.30010986,-0.056347005
HELLO,0.0,0.0,0.0,-0.057543993,-0.098793745,-0.021328108,-0.080991626,-0.2152499,-0.032908704,-0.07413697,-0.3201663,-0.051149745,-0.03446275,-0.37793005,-0.06642024,0.009230435,-0.27030784,0.029168667,0.020812213,-0.3643809,-0.0032238092,-0.0052655935,-0.3964095,-0.035126053,-0.026928008,-0.40304255,-0.0544908,0.04948157,-0.26628363,0.021926934,0.07365799,-0.37741053,-0.016701773,0.031058967,-0.40926254,-0.04675972,-0.008316219,-0.4003502,-0.06037075,0.08971101,-0.24637002,0.0063217496,0.12063378,-0.3575971,-0.029294819,0.07763839,-0.36981618,-0.0463157,0.04001504,-0.33974218,-0.048815705,0.13065827,-0.2076745,-0.012548511,0.14521366,-0.30048728,-0.03642558,0.108603895,-0.3260274,-0.04517926,0.07049388,-0.31212378,-0.046128687
HELLO,0.0,0.0,0.0,-0.057543993,-0.098793745,-0.021328108,-0.080991626,-0.2152499,-0.032908704,-0.07413697,-0.3201663,-0.051149745,-0.03446275,-0.37793005,-0.06642024,0.009230435,-0.27030784,0.029168667,0.020812213,-0.3643809,-0.0032238092,-0.0052655935,-0.3964095,-0.035126053,-0.026928008,-0.40304255,-0.0544908,0.04948157,-0.26628363,0.021926934,0.07365799,-0.37741053,-0.016701773,0.031058967,-0.40926254,-0.04675972,-0.008316219,-0.4003502,-0.06037075,0.08971101,-0.24637002,0.0063217496,0.12063378,-0.3575971,-0.029294819,0.07763839,-0.36981618,-0.0463157,0.04001504,-0.33974218,-0.048815705,0.13065827,-0.2076745,-0.012548511,0.14521366,-0.30048728,-0.03642558,0.108603895,-0.3260274,-0.04517926,0.07049388,-0.31212378,-0.046128687
